ministry,sector,state,region,implementing_agency,project_type,primary_bottleneck,original_cost_cr,planned_duration_months,project_age_months,duration_elapsed_ratio,remaining_planned_months,cumulative_expenditure_cr,physical_progress_pct,interim_financial_progress_pct,progress_decoupling_gap,expenditure_per_progress_point,milestone_count,milestones_completed,milestones_delayed,milestones_at_risk,milestone_delay_rate,milestone_completion_rate
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,2970.07,61.0,18.0,0.2951,43.0,3546.06,90.79,119.39,28.6,39.06,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Greenfield Construction,CONTRACTOR,177.52,65.0,18.0,0.2769,47.0,201.36,100.0,113.43,13.43,2.01,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Greenfield Construction,NONE,800.11,47.0,18.0,0.383,29.0,863.64,100.0,107.94,7.94,8.64,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Odisha,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,901.15,57.0,18.0,0.3158,39.0,1066.2,88.46,118.32,29.86,12.05,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,DESIGN_CHANGE,3738.58,36.0,18.0,0.5,18.0,4042.41,100.0,108.13,8.13,40.42,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,DESIGN_CHANGE,375.8,48.0,18.0,0.375,30.0,425.29,100.0,113.17,13.17,4.25,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,PROCUREMENT,1882.56,68.0,18.0,0.2647,50.0,2070.36,97.2,109.98,12.78,21.3,10,9,10,0,1.0,0.9
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,ENVIRONMENTAL_CLEARANCE,722.68,44.0,18.0,0.4091,26.0,877.68,100.0,121.45,21.45,8.78,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,654.29,27.0,18.0,0.6667,9.0,652.5,100.0,99.73,-0.27,6.52,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Greenfield Construction,LAND_ACQUISITION,494.0,49.0,18.0,0.3673,31.0,412.0,50.49,83.4,32.91,8.16,10,4,5,0,0.5,0.4
Ministry of Civil Aviation,Civil Aviation,Chhattisgarh,Central,Airports Authority of India (AAI),Greenfield Construction,LAND_ACQUISITION,4673.08,54.0,18.0,0.3333,36.0,3779.8,47.97,80.88,32.91,78.8,10,4,5,0,0.5,0.4
"Ministry of Ports, Shipping & Waterways",Ports & Shipping,Karnataka,South,Major Ports Authority,Greenfield Construction,UTILITY_SHIFTING,411.54,65.0,18.0,0.2769,47.0,239.68,38.96,58.24,19.28,6.15,10,3,4,0,0.4,0.3
Ministry of Railways,Railways,Andhra Pradesh,South,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,CONTRACTOR,192.97,52.0,18.0,0.3462,34.0,226.37,100.0,117.31,17.31,2.26,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,933.97,33.0,18.0,0.5455,15.0,916.24,100.0,98.1,-1.9,9.16,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Bihar,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,CONTRACTOR,1816.85,34.0,18.0,0.5294,16.0,1984.37,100.0,109.22,9.22,19.84,10,10,7,0,0.7,1.0
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Corridor Modernization,PROCUREMENT,3585.46,26.0,18.0,0.6923,8.0,3641.9,100.0,101.57,1.57,36.42,10,10,2,0,0.2,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,771.02,53.0,18.0,0.3396,35.0,859.45,100.0,111.47,11.47,8.59,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Tamil Nadu,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,LAND_ACQUISITION,1466.13,64.0,18.0,0.2812,46.0,1661.4,82.55,113.32,30.77,20.13,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Assam,Northeast,National Highways Authority of India (NHAI),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,777.67,58.0,18.0,0.3103,40.0,284.3,37.16,36.56,-0.6,7.65,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,1856.89,60.0,18.0,0.3,42.0,972.32,36.36,52.36,16.0,26.74,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,592.37,71.0,18.0,0.2535,53.0,562.51,81.5,94.96,13.46,6.9,10,7,6,1,0.6,0.7
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,808.39,33.0,18.0,0.5455,15.0,993.18,100.0,122.86,22.86,9.93,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Strategic Interconnection,CONTRACTOR,493.75,28.0,18.0,0.6429,10.0,630.05,100.0,127.61,27.61,6.3,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,West Bengal,East,Metro Rail Infrastructure SPV,Corridor Modernization,NONE,287.28,37.0,18.0,0.4865,19.0,309.97,100.0,107.9,7.9,3.1,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,NONE,492.76,24.0,18.0,0.75,6.0,488.61,100.0,99.16,-0.84,4.89,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,1310.15,71.0,18.0,0.2535,53.0,1382.9,82.66,105.55,22.89,16.73,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,551.35,61.0,18.0,0.2951,43.0,604.19,99.0,109.58,10.58,6.1,10,9,10,0,1.0,0.9
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,UTILITY_SHIFTING,699.29,72.0,18.0,0.25,54.0,697.21,96.39,99.7,3.31,7.23,10,9,8,1,0.8,0.9
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Maharashtra,West,Gas & Oil Infrastructure Authority (GAIL/IOCL),Capacity Augmentation / 6-Laning,NONE,4013.16,72.0,18.0,0.25,54.0,4159.76,100.0,103.65,3.65,41.6,10,10,7,0,0.7,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,1744.02,49.0,18.0,0.3673,31.0,1832.23,100.0,105.06,5.06,18.32,10,10,8,0,0.8,1.0
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,CONTRACTOR,421.9,39.0,18.0,0.4615,21.0,458.7,89.41,108.72,19.31,5.13,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,PROCUREMENT,887.27,60.0,18.0,0.3,42.0,1005.05,100.0,113.27,13.27,10.05,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,3639.13,55.0,18.0,0.3273,37.0,4284.11,100.0,117.72,17.72,42.84,10,10,9,0,0.9,1.0
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,DESIGN_CHANGE,150.0,44.0,18.0,0.4091,26.0,165.76,100.0,110.51,10.51,1.66,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,LAND_ACQUISITION,507.06,61.0,18.0,0.2951,43.0,264.03,36.15,52.07,15.92,7.3,10,3,4,0,0.4,0.3
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,UTILITY_SHIFTING,733.36,24.0,18.0,0.75,6.0,782.48,100.0,106.7,6.7,7.82,10,10,6,0,0.6,1.0
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,2148.4,66.0,18.0,0.2727,48.0,2121.83,100.0,98.76,-1.24,21.22,10,10,6,0,0.6,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Corridor Modernization,NONE,604.8,58.0,18.0,0.3103,40.0,590.91,100.0,97.7,-2.3,5.91,10,10,6,0,0.6,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,LAND_ACQUISITION,10629.95,65.0,18.0,0.2769,47.0,10490.46,77.2,98.69,21.49,135.89,10,7,8,0,0.8,0.7
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,365.07,41.0,18.0,0.439,23.0,337.06,88.1,92.33,4.23,3.83,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,963.66,69.0,18.0,0.2609,51.0,1015.06,100.0,105.33,5.33,10.15,10,10,9,0,0.9,1.0
Ministry of Jal Shakti,Water Resources,Madhya Pradesh,Central,National Water Development Agency,Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,820.78,67.0,18.0,0.2687,49.0,563.97,59.08,68.71,9.63,9.55,10,5,6,0,0.6,0.5
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,13194.46,62.0,18.0,0.2903,44.0,13909.54,100.0,105.42,5.42,139.1,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Strategic Interconnection,LAND_ACQUISITION,590.06,56.0,18.0,0.3214,38.0,291.62,30.29,49.42,19.13,9.63,10,2,3,0,0.3,0.2
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,INTERDEPARTMENTAL_DEPENDENCY,452.61,41.0,18.0,0.439,23.0,559.52,100.0,123.62,23.62,5.6,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,4162.24,70.0,18.0,0.2571,52.0,3421.95,67.59,82.21,14.62,50.63,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,6136.21,30.0,18.0,0.6,12.0,6039.34,100.0,98.42,-1.58,60.39,10,10,0,0,0.0,1.0
Ministry of Jal Shakti,Water Resources,Andhra Pradesh,South,National Water Development Agency,Strategic Interconnection,NONE,5488.31,39.0,18.0,0.4615,21.0,5681.19,100.0,103.51,3.51,56.81,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,FOREST_CLEARANCE,150.0,28.0,18.0,0.6429,10.0,187.76,100.0,125.17,25.17,1.88,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Rajasthan,North,National Highways Authority of India (NHAI),Greenfield Construction,ENVIRONMENTAL_CLEARANCE,2567.23,58.0,18.0,0.3103,40.0,2442.25,67.45,95.13,27.68,36.21,10,6,6,0,0.6,0.6
Ministry of Railways,Railways,Telangana,South,Railway Infrastructure Board / DFCCIL,Corridor Modernization,CONTRACTOR,1274.05,40.0,18.0,0.45,22.0,1557.49,100.0,122.25,22.25,15.57,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Strategic Interconnection,FOREST_CLEARANCE,691.87,53.0,18.0,0.3396,35.0,756.1,87.61,109.28,21.67,8.63,10,8,9,0,0.9,0.8
Ministry of Power,Power,Maharashtra,West,National Thermal & Hydro Power Corp (NTPC/NHPC),Greenfield Construction,FOREST_CLEARANCE,159.57,60.0,18.0,0.3,42.0,191.18,100.0,119.81,19.81,1.91,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Greenfield Construction,NONE,1205.04,36.0,18.0,0.5,18.0,1352.08,100.0,112.2,12.2,13.52,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,FOREST_CLEARANCE,1428.9,58.0,18.0,0.3103,40.0,1721.0,84.31,120.44,36.13,20.41,10,8,9,0,0.9,0.8
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,2918.42,34.0,18.0,0.5294,16.0,3783.53,100.0,129.64,29.64,37.84,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Greenfield Construction,FOREST_CLEARANCE,10714.39,67.0,18.0,0.2687,49.0,12633.72,93.05,117.91,24.86,135.77,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Corridor Modernization,LEGAL_DISPUTE,2157.47,28.0,18.0,0.6429,10.0,2765.59,100.0,128.19,28.19,27.66,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Maharashtra,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,FOREST_CLEARANCE,178.59,63.0,18.0,0.2857,45.0,223.77,100.0,125.3,25.3,2.24,10,10,10,0,1.0,1.0
Ministry of Railways,Railways,Assam,Northeast,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,596.86,59.0,18.0,0.3051,41.0,514.77,86.98,86.25,-0.73,5.92,10,8,0,0,0.0,0.8
Ministry of Jal Shakti,Water Resources,Uttar Pradesh,North,National Water Development Agency,Greenfield Construction,ENVIRONMENTAL_CLEARANCE,1746.45,38.0,18.0,0.4737,20.0,2085.36,100.0,119.41,19.41,20.85,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Odisha,East,Metro Rail Infrastructure SPV,Corridor Modernization,PROCUREMENT,5070.51,47.0,18.0,0.383,29.0,4261.42,86.58,84.04,-2.54,49.22,10,8,8,0,0.8,0.8
Ministry of Road Transport & Highways,Roads & Highways,Odisha,East,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,CONTRACTOR,335.24,37.0,18.0,0.4865,19.0,384.25,100.0,114.62,14.62,3.84,10,10,9,0,0.9,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Maharashtra,West,Metro Rail Infrastructure SPV,Strategic Interconnection,PROCUREMENT,1312.41,30.0,18.0,0.6,12.0,1641.74,100.0,125.09,25.09,16.42,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,PROCUREMENT,1200.13,44.0,18.0,0.4091,26.0,1292.03,100.0,107.66,7.66,12.92,10,10,6,0,0.6,1.0
Ministry of Road Transport & Highways,Roads & Highways,Maharashtra,West,National Highways Authority of India (NHAI),Corridor Modernization,CONTRACTOR,150.0,27.0,18.0,0.6667,9.0,192.04,100.0,128.03,28.03,1.92,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Andhra Pradesh,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,391.52,26.0,18.0,0.6923,8.0,388.46,100.0,99.22,-0.78,3.88,10,10,0,0,0.0,1.0
Ministry of Railways,Railways,Uttar Pradesh,North,Railway Infrastructure Board / DFCCIL,Corridor Modernization,FOREST_CLEARANCE,410.99,64.0,18.0,0.2812,46.0,495.89,90.61,120.66,30.05,5.47,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,363.34,29.0,18.0,0.6207,11.0,362.72,100.0,99.83,-0.17,3.63,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Strategic Interconnection,NONE,3253.48,62.0,18.0,0.2903,44.0,3092.6,93.02,95.06,2.04,33.25,10,8,6,1,0.6,0.8
Ministry of Civil Aviation,Civil Aviation,West Bengal,East,Airports Authority of India (AAI),Rehabilitation & Upgradation,LAND_ACQUISITION,1361.35,59.0,18.0,0.3051,41.0,1549.04,71.0,113.79,42.79,21.82,10,6,7,0,0.7,0.6
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,1227.75,60.0,18.0,0.3,42.0,1289.1,98.19,105.0,6.81,13.13,10,9,9,0,0.9,0.9
Ministry of Railways,Railways,Gujarat,West,Railway Infrastructure Board / DFCCIL,Greenfield Construction,PROCUREMENT,474.98,30.0,18.0,0.6,12.0,521.36,100.0,109.76,9.76,5.21,10,10,7,0,0.7,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Greenfield Construction,FOREST_CLEARANCE,536.97,63.0,18.0,0.2857,45.0,678.57,91.22,126.37,35.15,7.44,10,8,9,0,0.9,0.8
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Karnataka,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Corridor Modernization,PROCUREMENT,431.74,29.0,18.0,0.6207,11.0,425.53,100.0,98.56,-1.44,4.26,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Uttar Pradesh,North,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,413.1,29.0,18.0,0.6207,11.0,508.43,100.0,123.08,23.08,5.08,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,LAND_ACQUISITION,654.51,39.0,18.0,0.4615,21.0,798.38,91.33,121.98,30.65,8.74,10,8,9,0,0.9,0.8
Ministry of Railways,Railways,Chhattisgarh,Central,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,INTERDEPARTMENTAL_DEPENDENCY,4459.91,25.0,18.0,0.72,7.0,5502.11,100.0,123.37,23.37,55.02,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Jharkhand,East,Railway Infrastructure Board / DFCCIL,Capacity Augmentation / 6-Laning,NONE,1065.32,24.0,18.0,0.75,6.0,1201.88,100.0,112.82,12.82,12.02,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,West Bengal,East,Railway Infrastructure Board / DFCCIL,Corridor Modernization,INTERDEPARTMENTAL_DEPENDENCY,1359.92,40.0,18.0,0.45,22.0,1596.06,100.0,117.36,17.36,15.96,10,10,9,0,0.9,1.0
Ministry of Railways,Railways,Karnataka,South,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,NONE,179.32,49.0,18.0,0.3673,31.0,183.25,100.0,102.19,2.19,1.83,10,10,0,0,0.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Gujarat,West,National Highways Authority of India (NHAI),Strategic Interconnection,PROCUREMENT,625.32,51.0,18.0,0.3529,33.0,693.21,100.0,110.86,10.86,6.93,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,West Bengal,East,National Highways Authority of India (NHAI),Corridor Modernization,PROCUREMENT,313.63,24.0,18.0,0.75,6.0,346.12,100.0,110.36,10.36,3.46,10,10,8,0,0.8,1.0
Ministry of Housing & Urban Affairs,Urban Transit,Karnataka,South,Metro Rail Infrastructure SPV,Rehabilitation & Upgradation,NONE,1116.73,29.0,18.0,0.6207,11.0,1135.63,100.0,101.69,1.69,11.36,10,10,0,0,0.0,1.0
Ministry of Power,Power,Tamil Nadu,South,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,NONE,213.47,56.0,18.0,0.3214,38.0,225.76,100.0,105.76,5.76,2.26,10,10,8,0,0.8,1.0
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Corridor Modernization,LAND_ACQUISITION,205.67,67.0,18.0,0.2687,49.0,240.23,79.85,116.8,36.95,3.01,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Telangana,South,National Highways Authority of India (NHAI),Corridor Modernization,CONTRACTOR,584.0,64.0,18.0,0.2812,46.0,196.16,31.6,33.59,1.99,6.21,10,3,4,0,0.4,0.3
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Uttar Pradesh,North,Gas & Oil Infrastructure Authority (GAIL/IOCL),Strategic Interconnection,UTILITY_SHIFTING,174.45,70.0,18.0,0.2571,52.0,200.63,100.0,115.01,15.01,2.01,10,10,10,0,1.0,1.0
Ministry of Coal,Coal Infrastructure,Uttar Pradesh,North,Coal Infrastructure PSU,Capacity Augmentation / 6-Laning,ENVIRONMENTAL_CLEARANCE,4858.34,55.0,18.0,0.3273,37.0,5578.59,100.0,114.83,14.83,55.79,10,10,9,0,0.9,1.0
Ministry of Road Transport & Highways,Roads & Highways,Bihar,East,National Highways Authority of India (NHAI),Greenfield Construction,PROCUREMENT,266.75,66.0,18.0,0.2727,48.0,192.33,50.75,72.1,21.35,3.79,10,4,5,0,0.5,0.4
Ministry of Petroleum & Natural Gas,Petroleum & Natural Gas,Tamil Nadu,South,Gas & Oil Infrastructure Authority (GAIL/IOCL),Rehabilitation & Upgradation,CONTRACTOR,836.14,62.0,18.0,0.2903,44.0,962.65,82.58,115.13,32.55,11.66,10,7,8,0,0.8,0.7
Ministry of Power,Power,Uttar Pradesh,North,National Thermal & Hydro Power Corp (NTPC/NHPC),Corridor Modernization,UTILITY_SHIFTING,1686.11,52.0,18.0,0.3462,34.0,1839.53,100.0,109.1,9.1,18.4,10,10,8,0,0.8,1.0
Ministry of Railways,Railways,Madhya Pradesh,Central,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LAND_ACQUISITION,658.71,71.0,18.0,0.2535,53.0,644.73,61.8,97.88,36.08,10.43,10,5,6,0,0.6,0.5
Ministry of Railways,Railways,Rajasthan,North,Railway Infrastructure Board / DFCCIL,Rehabilitation & Upgradation,LAND_ACQUISITION,621.73,64.0,18.0,0.2812,46.0,777.75,100.0,125.09,25.09,7.78,10,10,10,0,1.0,1.0
Ministry of Road Transport & Highways,Roads & Highways,Karnataka,South,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LAND_ACQUISITION,706.99,52.0,18.0,0.3462,34.0,793.17,80.24,112.19,31.95,9.88,10,7,8,0,0.8,0.7
Ministry of Road Transport & Highways,Roads & Highways,Tamil Nadu,South,National Highways Authority of India (NHAI),Rehabilitation & Upgradation,NONE,363.73,59.0,18.0,0.3051,41.0,230.75,65.82,63.44,-2.38,3.51,10,6,0,0,0.0,0.6
Ministry of Road Transport & Highways,Roads & Highways,Madhya Pradesh,Central,National Highways Authority of India (NHAI),Capacity Augmentation / 6-Laning,LEGAL_DISPUTE,5536.46,53.0,18.0,0.3396,35.0,6834.29,100.0,123.44,23.44,68.34,10,10,10,0,1.0,1.0
